Date,Open,High,Low,Close,Volume,Adj Close
2013-03-06,77.00,77.089996,76.620003,76.800003,3940800,70.548823
2013-03-05,76.839996,77.07,76.489998,76.900002,7424800,70.640682
2013-03-04,75.779999,76.620003,75.540001,76.599998,5558800,70.365098
2013-03-01,75.550003,75.949997,75.370003,75.93,4282100,69.749635
2013-02-28,75.440002,75.949997,75.440002,75.769997,6007400,69.602655
2013-02-27,75.099998,75.589996,74.529999,75.480003,4655800,69.336266
2013-02-26,75.400002,75.769997,75.00,75.620003,6176900,68.971577
2013-02-25,75.68,76.330002,75.089996,75.190002,7600400,68.579382
2013-02-22,75.419998,75.580002,75.139999,75.57,4971300,68.92597
2013-02-21,75.269997,75.440002,74.720001,75.360001,5645200,68.734434
2013-02-20,75.290001,75.860001,75.290001,75.419998,7637900,68.789157
2013-02-19,73.75,75.589996,73.480003,75.50,10825700,68.862125
2013-02-15,72.489998,73.720001,72.470001,73.68,9345800,67.202137
2013-02-14,72.120003,73.199997,71.50,72.279999,8160800,65.925222
2013-02-13,72.239998,72.370003,70.980003,71.50,12029800,65.2138
2013-02-12,72.419998,72.449997,72.059998,72.169998,6398000,65.824893
2013-02-11,72.50,72.639999,72.199997,72.360001,3744000,65.998191
2013-02-08,72.760002,72.870003,72.470001,72.599998,3721400,66.217088
2013-02-07,72.82,73.029999,72.459999,72.809998,4146400,66.408624
2013-02-06,72.910004,73.120003,72.739998,72.769997,4782800,66.37214
2013-02-05,72.629997,73.160004,72.629997,73.150002,5558500,66.718735
2013-02-04,72.480003,72.669998,72.400002,72.449997,5449500,66.080275
2013-02-01,73.080002,73.110001,72.57,72.669998,5964900,66.280933
2013-01-31,73.360001,73.370003,72.68,72.849998,5677900,66.445108
2013-01-30,72.870003,73.459999,72.839996,73.209999,5179600,66.773458
2013-01-29,72.459999,72.949997,72.459999,72.940002,6654600,66.527199
2013-01-28,72.410004,72.669998,72.300003,72.610001,3741000,66.226211
2013-01-25,72.400002,72.550003,72.230003,72.489998,4153600,66.116759
2013-01-24,71.910004,72.379997,71.910004,72.230003,5136300,65.879623
2013-01-23,72.080002,72.290001,71.739998,71.809998,4812000,65.496543
